filename,chroma_stft,spectral_centroid,spectral_bandwidth,spectral_rolloff,rmse,zero_crossing_rate,name,surah,juz
52044,0.33454204,2260.637699,1800.9578,3992.849246,0.07578524,0.155176336,Maher_AlMuaiqly,Al-Tor,27
52045,0.28903592,1952.193919,1679.473489,3629.169587,0.06605144,0.11883348,Maher_AlMuaiqly,Al-Tor,27
52046,0.29181126,2044.721348,1720.473549,3826.950073,0.07323639,0.129783412,Maher_AlMuaiqly,Al-Tor,27
52047,0.29762506,2024.220339,1690.646198,3770.716164,0.06843784,0.13398065,Maher_AlMuaiqly,Al-Tor,27
52048,0.3415677,2160.607728,1735.612154,3867.750395,0.06253482,0.143462792,Maher_AlMuaiqly,Al-Tor,27
52049,0.2716106,1644.147544,1772.537987,3297.271729,0.073366866,0.07540741,Maher_AlMuaiqly,Al-Tor,27
53001,0.32850674,2016.800776,1645.822077,3685.371218,0.07411309,0.137153238,Maher_AlMuaiqly,Al-Najm,27
53002,0.32151943,2047.149855,1697.441763,3836.597349,0.06587984,0.142511237,Maher_AlMuaiqly,Al-Najm,27
53003,0.3450558,1908.811864,1582.192899,3654.43303,0.068372674,0.134213492,Maher_AlMuaiqly,Al-Najm,27
53004,0.32364255,1919.246161,1596.797866,3635.844221,0.059272647,0.122875135,Maher_AlMuaiqly,Al-Najm,27
53005,0.34776345,2157.783699,1721.82429,3882.419568,0.06944291,0.147687777,Maher_AlMuaiqly,Al-Najm,27
53006,0.3360172,2038.282423,1724.751401,3936.669706,0.05703306,0.132553236,Maher_AlMuaiqly,Al-Najm,27
53007,0.3523253,2004.454023,1587.316233,3701.123615,0.06334849,0.138853561,Maher_AlMuaiqly,Al-Najm,27
53008,0.37230608,2056.195435,1547.419681,3694.986278,0.06895743,0.154646249,Maher_AlMuaiqly,Al-Najm,27
53009,0.37152556,2222.408883,1736.178494,3959.549484,0.070759155,0.167582905,Maher_AlMuaiqly,Al-Najm,27
53010,0.34133935,2042.450759,1605.622029,3727.449348,0.07806501,0.146052962,Maher_AlMuaiqly,Al-Najm,27
53011,0.3238651,1950.848366,1623.595876,3717.984841,0.075762905,0.13104433,Maher_AlMuaiqly,Al-Najm,27
53012,0.3346335,1894.745583,1556.790253,3643.839903,0.065860964,0.129262563,Maher_AlMuaiqly,Al-Najm,27
53013,0.31658995,1921.560868,1682.170392,3759.277551,0.0637133,0.119351662,Maher_AlMuaiqly,Al-Najm,27
53014,0.33070678,2094.004503,1719.720485,3962.177089,0.05917723,0.140938237,Maher_AlMuaiqly,Al-Najm,27
53015,0.31704897,2004.373874,1689.195984,3765.521608,0.07100058,0.130759366,Maher_AlMuaiqly,Al-Najm,27
53016,0.3751469,2518.621871,1827.768282,4298.565674,0.06349203,0.18110567,Maher_AlMuaiqly,Al-Najm,27
53017,0.3367798,2160.734977,1826.201513,4045.953225,0.07280944,0.146242157,Maher_AlMuaiqly,Al-Najm,27
53018,0.30451742,2088.344063,1677.063882,3787.958074,0.07084137,0.140622241,Maher_AlMuaiqly,Al-Najm,27
53019,0.34489974,2187.104057,1774.666123,4017.299517,0.07269133,0.150398831,Maher_AlMuaiqly,Al-Najm,27
53020,0.37725374,2037.159231,1664.588109,3766.984226,0.061272014,0.144616168,Maher_AlMuaiqly,Al-Najm,27
53021,0.31928712,1942.172893,1729.40782,3748.059082,0.058983542,0.120689755,Maher_AlMuaiqly,Al-Najm,27
53022,0.32340938,2271.423233,1904.350777,4229.59575,0.06020607,0.155037172,Maher_AlMuaiqly,Al-Najm,27
53023,0.32299194,2090.070785,1708.541821,3849.987905,0.07031733,0.139770813,Maher_AlMuaiqly,Al-Najm,27
53024,0.30503342,2247.155206,1763.110259,3955.938274,0.08699073,0.152918374,Maher_AlMuaiqly,Al-Najm,27
53025,0.34618306,2112.267337,1616.170946,3809.223633,0.07308022,0.145612204,Maher_AlMuaiqly,Al-Najm,27
53026,0.31891823,2131.891055,1662.456943,3851.04338,0.07410051,0.143594023,Maher_AlMuaiqly,Al-Najm,27
53027,0.34328166,2270.999839,1788.077167,4016.835223,0.07318533,0.16453649,Maher_AlMuaiqly,Al-Najm,27
53028,0.31263894,2144.788498,1678.379793,3782.658264,0.06739467,0.144913016,Maher_AlMuaiqly,Al-Najm,27
53029,0.34727192,2101.427447,1607.977763,3800.773978,0.06619324,0.153065041,Maher_AlMuaiqly,Al-Najm,27
53030,0.3157772,2038.161191,1626.937153,3678.603223,0.071350016,0.140462891,Maher_AlMuaiqly,Al-Najm,27
53031,0.34106225,2353.992121,1810.147936,4148.191802,0.06784503,0.170707889,Maher_AlMuaiqly,Al-Najm,27
53032,0.31766695,2036.356442,1712.863943,3776.210146,0.062611334,0.133707152,Maher_AlMuaiqly,Al-Najm,27
53033,0.3659644,2235.653779,1662.896744,3912.695495,0.07023663,0.166019269,Maher_AlMuaiqly,Al-Najm,27
53034,0.33156344,2064.941402,1600.122219,3760.578826,0.06693579,0.149345244,Maher_AlMuaiqly,Al-Najm,27
53035,0.30399805,1985.677355,1680.221069,3735.767429,0.061854783,0.130715925,Maher_AlMuaiqly,Al-Najm,27
53036,0.3543626,2243.952182,1829.411948,4035.973269,0.05398096,0.154274164,Maher_AlMuaiqly,Al-Najm,27
53037,0.3444735,2137.780203,1739.937719,3893.268377,0.062496938,0.148263642,Maher_AlMuaiqly,Al-Najm,27
53038,0.30438936,2096.187426,1841.510875,3985.876075,0.0559193,0.13349038,Maher_AlMuaiqly,Al-Najm,27
53039,0.33250272,2279.157766,1851.521941,4147.668973,0.06793949,0.155922187,Maher_AlMuaiqly,Al-Najm,27
53040,0.3290626,2185.388902,1778.65805,4019.113368,0.06099415,0.149186644,Maher_AlMuaiqly,Al-Najm,27
53041,0.3533797,2094.207603,1722.538218,3857.059944,0.06994677,0.149048338,Maher_AlMuaiqly,Al-Najm,27
53042,0.31954533,1968.934078,1618.647932,3744.05545,0.06877842,0.133734199,Maher_AlMuaiqly,Al-Najm,27
53043,0.34527415,1943.465322,1629.89814,3707.570663,0.06362453,0.134043951,Maher_AlMuaiqly,Al-Najm,27
53044,0.31548837,2026.235922,1648.547174,3722.307795,0.0691192,0.139245764,Maher_AlMuaiqly,Al-Najm,27
53045,0.31285426,2003.406568,1682.663571,3808.174817,0.06265118,0.130589978,Maher_AlMuaiqly,Al-Najm,27
53046,0.32243878,2012.33565,1625.390404,3667.768298,0.06023921,0.136663681,Maher_AlMuaiqly,Al-Najm,27
53047,0.32773307,2037.948555,1638.294997,3814.068604,0.0663122,0.135148869,Maher_AlMuaiqly,Al-Najm,27
53048,0.33327943,1844.985451,1621.844605,3616.069429,0.06458067,0.120695661,Maher_AlMuaiqly,Al-Najm,27
53049,0.30472052,1898.343401,1617.602067,3619.642953,0.06737777,0.123254227,Maher_AlMuaiqly,Al-Najm,27
53050,0.29144838,1731.744289,1634.375384,3348.966311,0.06954614,0.103164371,Maher_AlMuaiqly,Al-Najm,27
53051,0.32833734,2089.231767,1671.310632,3822.38825,0.08409253,0.14827104,Maher_AlMuaiqly,Al-Najm,27
53052,0.30091253,1970.723365,1662.497201,3599.574469,0.071804,0.126103004,Maher_AlMuaiqly,Al-Najm,27
53053,0.37824184,1954.679784,1647.650662,3690.897792,0.065236345,0.125488281,Maher_AlMuaiqly,Al-Najm,27
53054,0.39848912,2498.969936,1730.967812,4233.286863,0.072360754,0.186559945,Maher_AlMuaiqly,Al-Najm,27
53055,0.35025477,2123.534721,1652.671568,3790.236692,0.084181994,0.150340728,Maher_AlMuaiqly,Al-Najm,27
53056,0.3037808,1902.443171,1576.690773,3549.572133,0.07581576,0.122125486,Maher_AlMuaiqly,Al-Najm,27
